column,dtype,non_null,missing,n_unique
monosabs_min,float64,50245,510241,538
mpv_min,float64,249617,310869,141
neutrophils_min,float64,248467,312019,748
nrbc_min,float64,53206,507280,92
nrbcabsolute_min,float64,50038,510448,23
"o2satcalculated,venous(poc)_min",float64,25017,535469,95
pco2(poc)_min,float64,90948,469538,117
"pco2,venous(poc)_min",float64,25038,535448,103
"ph,venous(poc)_min",float64,25039,535447,85
"phencyclidine(pcp)screen,urine,noconf._min",float64,0,560486,0
phosphorus_min,float64,95010,465476,131
platelets_min,float64,249797,310689,796
po2(poc)_min,float64,90901,469585,183
"po2,venous(poc)_min",float64,25035,535451,134
pocbun_min,float64,118861,441625,139
poccreatinine_min,float64,118946,441540,175
pocglucose_min,float64,143160,417326,670
pochematocrit_min,float64,119059,441427,67
pocionizedcalcium_min,float64,119024,441462,64
pocph_min,float64,99699,460787,120
pocpotassium_min,float64,118943,441543,72
pocsodium_min,float64,119084,441402,70
poctroponini._min,float64,4425,556061,46
potassium_min,float64,242467,318019,78
proteintotal_min,float64,171933,388553,99
prothrombintime_min,float64,137674,422812,613
ptt_min,float64,106145,454341,563
rbc_min,float64,249809,310677,302
rbc/hpf_min,float64,89371,471115,754
rdw_min,float64,249834,310652,206
sodium_min,float64,244395,316091,70
troponini(poc)_min,float64,116380,444106,330
troponint_min,float64,42261,518225,164
tsh_min,float64,46018,514468,1712
wbc_min,float64,249845,310641,500
wbc/hpf_min,float64,90471,470015,746
absolutelymphocytecount_max,float64,246280,314206,240
acetonebld_max,float64,2282,558204,79
alanineaminotransferase(alt)_max,float64,185674,374812,605
albumin_max,float64,174330,386156,55
alkphos_max,float64,186701,373785,726
anc(absneutrophilcount)_max,float64,247591,312895,456
aniongap_max,float64,243463,317023,56
aspartateaminotransferase(ast)_max,float64,183791,376695,653
"b-typenatriureticpeptide,pro(probnp)_max",float64,27185,533301,3409
baseexcess(poc)_max,float64,90941,469545,61
"baseexcess,venous(poc)_max",float64,25033,535453,59
basos_max,float64,247509,312977,50
basosabs_max,float64,51566,508920,126
"benzodiazepinesscreen,urine,noconf._max",float64,14,560472,3
bilirubindirect_max,float64,118265,442221,563
bilirubintotal_max,float64,185812,374674,969
bun_max,float64,244337,316149,188
bun/creatratio_max,float64,210877,349609,680
calcium_max,float64,244969,315517,119
calculatedco2(poc)_max,float64,100313,460173,47
calculatedhco3(poc)i_max,float64,84570,475916,488
calculatedo2saturation(poc)_max,float64,90867,469619,95
chloride_max,float64,244399,316087,76
cktotal_max,float64,40342,520144,986
co2_max,float64,244346,316140,385
"co2calculated,venous(poc)_max",float64,25012,535474,47
"co2,poc_max",float64,105392,455094,47
creatinine_max,float64,244344,316142,850
d-dimer_max,float64,26537,533949,1040
egfr_max,float64,17743,542743,97
egfr(nonafricanamerican)_max,float64,58275,502211,143
egfr(aframer)_max,float64,41405,519081,164
eos_max,float64,247510,312976,228
eosinoabs_max,float64,49923,510563,40
